review_ID,rating,title,review_content,reviewer,posted_date
Shak_2024-10-04,1,Over priced and poor,"I brought this in August and didn’t use it straightaway, wish I did as I would have returned this immediately!! The suction is poor even on boost mode I’ve got two babies under the ages of two the idea was quick n easy but no its worse hoover I ever purchased!!",Shak,2024-10-04T19:57:46
tmw131_2024-08-12,1,airway blocked ... always - don't spend the money,"I just expected more from this very expensive vacuum, regardless of the attachment or the floor I'm cleaning, it shuts down and tells me there's a airway blockage, I've cleaned it more than I care to share and it still doesn't work.",tmw131,2024-08-12T18:26:20
fplay_2024-08-11,1,Not worth the $…..,"[This review was collected as part of a promotion.] Has the power to suck the money out of your wallet or purse because just after a year your looking for another one once the trigger breaks, the casing around the battery breaks and the stick connecter to the brush breaks also. Look elsewhere unless you want to give Dyson all your money, Yeah go for it! Its sucks!",fplay,2024-08-11T11:07:29
Vladislav_2024-07-23,1,"Emptying bin issue, same as usual with Dyson","[This review was collected as part of a promotion.] I hoped Dyson fixed issue to make easier fully empty trash bin. But, I guess not. They did raised price drastically, though. In order you to empty fully bin, you have to use some stick to pull it out and get dirt everywhere. Dyson, if you can came out with ideas, look at least around and learn from your competitors...",Vladislav,2024-07-23T18:25:46
JennG_2024-07-17,1,Terrible,"[This review was collected as part of a promotion.] Had to return the first one- luckily had geek squad who said there were so many issues i could get a new one... except it wasn't new. This one is even more messed up than the first. Had a dyson animal with no issues fir a few years- this is our 2nd and once again ill have to drive 45min to a best buy for geek squad to tell me the same thing as the first time. For the $$$ you expect it to last at LEAST a year, this is ridiculous",JennG,2024-07-17T18:37:11
Roxy_2024-07-02,1,Not trigger happy,"I received my new Dyson v15 about 2 weeks ago. I was extremely disappointed to learn the unit only runs when trigger is pulled….an uncomfortable, poorly designed, trigger on top section where the heavy battery is housed. The unit does not have an “on off” switch.",Roxy,2024-07-02T21:06:51
Steph_2024-06-25,1,Canister does not completely empty.,"[This review was collected as part of a promotion.] This is my second Dyson and if it would’ve been my first one, I can say with all certainty I wouldn’t own another Dyson. The canister doesn’t empty well as. You have to dig the hair out. The canister is heavy.",Steph,2024-06-25T23:07:39
yssd2020_2024-05-20,1,bad product,"Bad product , not happy with product, wasted my money",yssd2020,2024-05-20T06:24:08
DR. HOWARD_2024-04-23,1,,STILL WAITING FOR PARTS.... HAS BEEN A FEW WEEKS. PARTS MISSING IN V-15,DR. HOWARD,2024-04-23T09:57:37
Purple_2024-04-01,1,,I returned it as it does not work on my carpets. It 's also very heavy to lift. Did not glide on carpets. Worked fine on floors. Very disappointed.,Purple,2024-04-01T17:53:33
LGWowcast_2024-03-30,1,Vacuum cleaner,"[This review was collected as part of a promotion.] I do not recommend this product. I bought one on August 6, 2023 and it turns off, meaning it cannot be used.",LGWowcast,2024-03-30T21:33:37
Unhappy_2024-03-28,1,Awful,I sent it back in 2 days. Too heavy and no wheels. Hurt my back pushing it around my carpet.,Unhappy,2024-03-28T21:28:36
Srturner803_2024-03-22,1,New Dyson Returned,[This review was collected as part of a promotion.] Returned. Rollers keep stopping on hardwood?! Green light not working.,Srturner803,2024-03-22T15:50:09
KaileeN_2024-03-04,1,Mediocre not worth the money!,"[This review was collected as part of a promotion.] Heavy. Loud. Hurts your ears, has impeccable high pitch sound that leaves you sort of deaf for awhile. Mediocre clean— was expecting more for the price.",KaileeN,2024-03-04T22:20:51
DPHG_2024-02-26,1,To many cons for the price tag,"I received this vacuum last week. For such an expensive cordless vacuum the cons are too big to let them: - the suction is bad, I expected to be a better option then the broom. - vacuuming any type of carpet will not work - cleaning the vacuum bag of pet hair is a hard task - to keep the vacuum ON you need to keep your ginger pressed on button - one of the attachments does not properly stays hooked - wight wise this machine is not an important on handling it vs. the regular vacuum",DPHG,2024-02-26T14:03:34
Sami_2024-02-15,1,,Very bad backing and I received it dirty like is someone use it before,Sami,2024-02-15T20:07:18
Joanna_2024-02-03,1,Don’t like!!!!!,I do not like this at all! To empty is a hard task! Not good run time!,Joanna,2024-02-03T17:56:28
ElizabethS_2024-01-13,1,Hate it!,"[This review was collected as part of a promotion.] I hate this vacuum!I had one previously that worked fine. I didn’t love that one either, but my husband did.This one got rave reviews so I bought it and all new rugs at the same time.It has been 6 months and it continues to jam, w/ each use, so I have to manually extract the debris.The attachments are very difficult to remove.I spent a fortune and now I am buying a cheap Shark that I bought for my son. It is so much better and only $200! It is a plug in, but I don’t care.",ElizabethS,2024-01-13T01:25:00
Dents_2024-01-12,1,Dents,I thought I was buying new and the are 2 dents in the shaft,Dents,2024-01-12T15:05:47
Dyson_2024-01-04,1,Horrible,"[This review was collected as part of a promotion.] I absolutely hated this vacuum. It was hard to hold the handle down while trying to vacuum. The suction seemed good on the hard floor, but on carpet it wasn’t very good. I don’t recommend this.",Dyson,2024-01-04T02:20:47
